LLM_Input
"The Apple 13-inch MacBook Air (M1 CPU) 256GB - 2020 (Workplace) has a total estimated carbon footprint of 161.0 kgCO₂eq over its 3.0 years of use. About 15.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 76.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 256GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 13-inch MacBook Air (M1 CPU) 512GB - 2020 (Workplace) has a total estimated carbon footprint of 181.0 kgCO₂eq over its 3.0 years of use. About 15.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 76.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 512GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 13-inch MacBook Air with Retina display (1.1GHz dual-core CPU) 256GB - 2020 (Workplace) has a total estimated carbon footprint of 174.0 kgCO₂eq over its 3.0 years of use. About 15.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 77.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 256GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 13-inch MacBook Air with Retina display (1.1GHz quad-core CPU) 512GB - 2020 (Workplace) has a total estimated carbon footprint of 202.0 kgCO₂eq over its 3.0 years of use. About 15.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 77.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 512GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 13-inch MacBook Pro (1.4GHz quad-core CPU) 256GB - 2020 (Workplace) has a total estimated carbon footprint of 217.0 kgCO₂eq over its 3.0 years of use. About 17.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 76.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 256GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 13-inch MacBook Pro (2.0GHz quad-core CPU) 512GB - 2020 (Workplace) has a total estimated carbon footprint of 251.0 kgCO₂eq over its 3.0 years of use. About 17.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 76.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 512GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 13-inch MacBook Pro (Four Thunderbolt 3 ports) 1TB - 2020 (Workplace) has a total estimated carbon footprint of 298.0 kgCO₂eq over its 3.0 years of use. About 19.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 73.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 1024GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 13-inch MacBook Pro (Four Thunderbolt 3 ports) 512GB - 2020 (Workplace) has a total estimated carbon footprint of 251.0 kgCO₂eq over its 3.0 years of use. About 19.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 73.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 512GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 13-inch MacBook Pro (M1 CPU) 256GB - 2020 (Workplace) has a total estimated carbon footprint of 185.0 kgCO₂eq over its 3.0 years of use. About 19.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 73.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 256GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 13-inch MacBook Pro (M1 CPU) 512GB - 2020 (Workplace) has a total estimated carbon footprint of 207.0 kgCO₂eq over its 3.0 years of use. About 19.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 73.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 512GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 13-inch MacBook Pro (Two Thunderbolt 3 ports) 256GB - 2020 (Workplace) has a total estimated carbon footprint of 212.0 kgCO₂eq over its 3.0 years of use. About 19.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 73.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 256GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 13-inch MacBook Pro (Two Thunderbolt 3 ports) 512GB - 2020 (Workplace) has a total estimated carbon footprint of 233.0 kgCO₂eq over its 3.0 years of use. About 19.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 73.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 512GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 13-inch MacBook Pro with Retina display (2.7GHz CPU) 128GB - 2015 (Workplace) has a total estimated carbon footprint of 439.0 kgCO₂eq over its 3.0 years of use. About 12.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 84.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 128GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 14-inch MacBook Pro (M1 Pro 10-core CPU and 16-core GPU) 1TB - 2021 (Workplace) has a total estimated carbon footprint of 307.0 kgCO₂eq over its 3.0 years of use. About 22.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 72.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 1024GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 14-inch MacBook Pro (M1 Pro 8-core CPU and 14-core GPU) 512GB - 2021 (Workplace) has a total estimated carbon footprint of 271.0 kgCO₂eq over its 3.0 years of use. About 22.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 72.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 512GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 14-inch MacBook Pro with 64GB (Workplace) has a total estimated carbon footprint of 243.0 kgCO₂eq over its 3.5 years of use. About 20.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 79.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 64GB SSD storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 15-inch MacBook Pro (2.3GHz 8-core CPU) 512GB - 2019 (Workplace) has a total estimated carbon footprint of 385.0 kgCO₂eq over its 3.0 years of use. About 19.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 75.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 512GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 15-inch MacBook Pro (2.6GHz 6-core CPU) 256GB - 2019 (Workplace) has a total estimated carbon footprint of 352.0 kgCO₂eq over its 3.0 years of use. About 19.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 75.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 256GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 15-inch MacBook Pro with Retina display (2.2GHz CPU) 256GB - 2015 (Workplace) has a total estimated carbon footprint of 592.0 kgCO₂eq over its 3.0 years of use. About 17.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 79.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 256GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 16-inch MacBook Pro (2.3GHz 8-core CPU) 1TB - 2019 (Workplace) has a total estimated carbon footprint of 465.0 kgCO₂eq over its 3.0 years of use. About 19.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 75.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 1024GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 16-inch MacBook Pro (2.6GHz 6-core CPU) 512GB - 2019 (Workplace) has a total estimated carbon footprint of 394.0 kgCO₂eq over its 3.0 years of use. About 19.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 75.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 512GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 16-inch MacBook Pro (M1 Max 10-core CPU and 32-core GPU) 1TB - 2021 (Workplace) has a total estimated carbon footprint of 395.0 kgCO₂eq over its 3.0 years of use. About 27.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 66.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 1024GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 16-inch MacBook Pro (M1 Pro 10-core CPU and 16-core GPU) 1TB - 2021 (Workplace) has a total estimated carbon footprint of 382.0 kgCO₂eq over its 3.0 years of use. About 27.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 66.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 1024GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 16-inch MacBook Pro (M1 Pro 10-core CPU and 16-core GPU) 512GB - 2021 (Workplace) has a total estimated carbon footprint of 349.0 kgCO₂eq over its 3.0 years of use. About 27.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 66.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 512GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 16-inch MacBook Pro with 64GB (Workplace) has a total estimated carbon footprint of 300.0 kgCO₂eq over its 3.5 years of use. About 25.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 74.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 64GB SSD storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 21.5-inch iMac with Retina 4K display (3.0GHz 6-core CPU) 1TB - 2019 (Workplace) has a total estimated carbon footprint of 596.0 kgCO₂eq over its 3.0 years of use. About 51.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 43.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 1024GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 21.5-inch iMac with Retina 4K display (3.6GHz quad-core CPU) 1TB - 2019 (Workplace) has a total estimated carbon footprint of 588.0 kgCO₂eq over its 3.0 years of use. About 51.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 43.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 1024GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 24-inch iMac with 4.5K Retina display (M1 CPU and 7-core GPU) 256GB - 2021 (Workplace) has a total estimated carbon footprint of 481.0 kgCO₂eq over its 3.0 years of use. About 44.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 45.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 256GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 24-inch iMac with 4.5K Retina display (M1 CPU and 8-core GPU) 256GB - 2021 (Workplace) has a total estimated carbon footprint of 486.0 kgCO₂eq over its 3.0 years of use. About 44.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 45.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 256GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 24-inch iMac with 4.5K Retina display (M1 CPU and 8-core GPU) 512GB - 2021 (Workplace) has a total estimated carbon footprint of 511.0 kgCO₂eq over its 3.0 years of use. About 44.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 45.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 512GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 27-inch iMac with 5K Retina display (3.0GHz 6-core CPU) 1TB - 2019 (Workplace) has a total estimated carbon footprint of 938.0 kgCO₂eq over its 3.0 years of use. About 45.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 46.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 1024GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 27-inch iMac with 5K Retina display (3.1GHz 6-core CPU) 1TB - 2019 (Workplace) has a total estimated carbon footprint of 938.0 kgCO₂eq over its 3.0 years of use. About 45.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 46.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 1024GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 27-inch iMac with 5K Retina display (3.1GHz 6-core CPU) 256GB - 2020 (Workplace) has a total estimated carbon footprint of 824.0 kgCO₂eq over its 3.0 years of use. About 45.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 46.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 256GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 27-inch iMac with 5K Retina display (3.3GHz 6-core CPU) 512GB - 2020 (Workplace) has a total estimated carbon footprint of 857.0 kgCO₂eq over its 3.0 years of use. About 45.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 46.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 512GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 27-inch iMac with 5K Retina display (3.7GHz 6-core CPU) 2TB - 2019 (Workplace) has a total estimated carbon footprint of 951.0 kgCO₂eq over its 3.0 years of use. About 45.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 46.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 2048GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple 27-inch iMac with 5K Retina display (3.8GHz 8-core CPU) 512GB - 2020 (Workplace) has a total estimated carbon footprint of 858.0 kgCO₂eq over its 3.0 years of use. About 45.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 46.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 512GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple Apple Studio Display with tilt-adjustable stand (Workplace) has a total estimated carbon footprint of 544.0 kgCO₂eq over its 3.5 years of use. About 56.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 38.00% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple Apple TV 4K (3rd generation) with 64GB (Home) has a total estimated carbon footprint of 43.0 kgCO₂eq over its 3.5 years of use. About 37.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 62.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 64GB SSD storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
