industry,unit,process,metals,carbon,ced,non-renewable,renewable,global warming,global warming.1,ozone formation,climate change,photochemical ozone formation,resource use,carbon.1
electricity China,MJ ,Electricity Beijing production,5.9979409e-06,0.26148888,6.5711769,3.0848085,3.4612283,3.4612283,0.0085042537,0.016635864,7.2910037e-06,5.9121947e-08,2.0003899e-14,0.039223332
electricity China,MJ ,Electricity Tianjin production,2.6228894e-05,0.2458252266666667,6.3117561,2.8976754,3.3266101,3.3266101,0.087470619,0.0,6.8542596e-06,5.595339e-08,1.880563e-14,0.036873784
electricity China,MJ ,Electricity Hebei production,7.761948e-05,0.2027121,5.5996635,2.3840077,2.9570922,2.9570922,0.24447294,0.014090694,5.6521513e-06,4.6902048e-08,1.5507476e-14,0.030406815
electricity China,MJ ,Electricity Shanxi production,5.0644718e-05,0.2254119133333334,5.9748933,2.6546796,3.1518058,3.1518058,0.15846789,0.0099400535,6.2850823e-06,5.1645134e-08,1.7244011e-14,0.033811787
electricity China,MJ ,Electricity Inner Mongolia production,6.9702888e-05,0.2106227666666667,5.730846,2.4786361,3.0251652,3.0251652,0.22081342,0.0062312676,5.8727216e-06,4.8575539e-08,1.6112642e-14,0.031593415
electricity China,MJ ,Electricity Liaoning production,5.6522792e-05,0.15633982,5.9187545,1.8317948,3.1105381,3.1105381,0.16670634,0.024495363,4.3591691e-06,4.2426247e-08,1.1959996e-14,0.023450973
electricity China,MJ ,Electricity Jilin production,0.00011315311,0.1655053733333333,4.9863687,1.9416077,2.6388423,2.6388423,0.29273817,0.11318057,4.6147289e-06,3.864878e-08,1.2661161e-14,0.024825806
electricity China,MJ ,Electricity Heilongjiang production,8.4051223e-05,0.1959247933333333,5.488086,2.3035213,2.8991926,2.8991926,0.24886544,0.036506699,5.4629031e-06,4.5368784e-08,1.4988247e-14,0.029388719
electricity China,MJ ,Electricity Shanghai production,1.0073312e-05,0.25970618,6.5416111,3.0634813,3.4458861,3.4458861,0.032243822,0.0,7.2412974e-06,5.8832271e-08,1.9867523e-14,0.038955927
electricity China,MJ ,Electricity Jiangsu production,3.4000537e-05,0.21788696,6.2249096,2.5651329,3.2773572,3.2773572,0.10646644,0.0050806385,6.0752667e-06,5.1906377e-08,1.6668353e-14,0.032683044
electricity China,MJ ,Electricity Zhejiang production,2.8421535e-05,0.1981833333333334,6.2476254,2.3302647,3.2852475,3.2852475,0.066381159,0.042696341,5.5258772e-06,4.9310234e-08,1.5161025e-14,0.0297275
electricity China,MJ ,Electricity Anhui production,2.8392063e-05,0.24230588,6.2539617,2.8559855,3.2966195,3.2966195,0.079548333,0.021808425,6.7561308e-06,5.5108587e-08,1.85364e-14,0.036345882
electricity China,MJ ,Electricity Fujian production,4.1353219e-05,0.1605092933333334,6.0187442,1.8819546,3.1620838,3.1620838,0.071261759,0.096176907,4.475425e-06,4.3086404e-08,1.2278961e-14,0.024076394
electricity China,MJ ,Electricity Jiangxi production,5.1835317e-05,0.2191823466666667,5.8721818,2.5805887,3.0985069,3.0985069,0.12876753,0.064318693,6.1113854e-06,5.0084544e-08,1.676745e-14,0.032877352
electricity China,MJ ,Electricity Shandong production,4.106838e-05,0.2248807133333333,6.1115408,2.6483836,3.221088,3.221088,0.12765832,0.0091648416,6.2702709e-06,5.2240254e-08,1.7203374e-14,0.033732107
electricity China,MJ ,Electricity Henan production,5.2166063e-05,0.22132368,5.9079018,2.6063552,3.1170427,3.1170427,0.13938544,0.045118435,6.1710915e-06,5.0613623e-08,1.6931262e-14,0.033198552
electricity China,MJ ,Electricity Hubei production,0.00012353391,0.1235705066666667,4.2956038,1.4433247,2.2803917,2.2803917,0.10315231,0.46873508,3.4454736e-06,2.8178127e-08,9.4531437e-15,0.018535576
electricity China,MJ ,Electricity Hunan production,0.0001074684,0.1528896466666667,4.7792129,1.7921759,2.5313453,2.5313453,0.15638857,0.29930306,4.2629691e-06,3.5107607e-08,1.1696058e-14,0.022933447
electricity China,MJ ,Electricity Guangdong production,2.8943918e-05,0.1943637333333333,6.2526771,2.2849487,3.2871095,3.2871095,0.067633479,0.040812571,5.4193766e-06,4.8845232e-08,1.4868826e-14,0.02915456
electricity China,MJ ,Electricity Guangxi production,8.8321495e-05,0.1420520466666667,5.1634653,1.66251,2.72443,2.72443,0.14167018,0.22653677,3.960788e-06,3.5940503e-08,1.0866982e-14,0.021307807
electricity China,MJ ,Electricity Hainan production,3.0186213e-05,0.18212972,6.2233437,2.1386621,3.2699469,3.2699469,0.07426829,0.042713844,5.0782598e-06,4.7142984e-08,1.3932923e-14,0.027319458
electricity China,MJ ,Electricity Chongqing production,5.3349518e-05,0.2068272133333333,5.669548,2.4344189,2.9933565,2.9933565,0.048748105,0.19302453,5.7668915e-06,4.6865078e-08,1.5822282e-14,0.031024082
electricity China,MJ ,Electricity Sichuan production,0.00017718642,0.04776863133333333,3.0464557,0.54225211,1.6321859,1.6321859,0.046923079,0.82509456,1.3319162e-06,1.0622605e-08,3.6543003e-15,0.0071652947
