industry,unit,process,metals,carbon,ced,non-renewable,renewable,global warming,global warming.1,ozone formation,climate change,photochemical ozone formation,resource use,carbon.1
electricity EU ,MJ ,Electricity .EU-27 production,9.2755006e-05,0.09036232000000001,2.3742164,1.0995998,0.21363531,0.00141679586,0.005854580806,0.013554348,2.5195412e-06,1.1645348e-07,0.00056894562,0.013554348
electricity EU ,MJ ,Electricity Austria production,0.00018512263,0.03107709733333333,1.4455487,0.40604002,0.19237845,0.00098058447,0.00018512263,0.0046615646,8.6651194e-07,7.4498876e-08,0.00036045924,0.0046615646
electricity EU ,MJ ,Electricity Belgium production,8.8958704e-05,0.05723871466666667,2.4442961,0.66347084,0.17050977,0.00146310515,0.010681751704,0.0085858072,1.5959672e-06,1.0995003e-07,0.00053033385,0.0085858072
electricity EU ,MJ ,Electricity Bulgaria production,5.6668291e-05,0.1480001466666667,2.8515386,1.0803524,0.20099923,0.00106325144,0.010941622291,0.022200022,4.1266368e-06,8.3104197e-08,0.00040378367,0.022200022
electricity EU ,MJ ,Electricity Croatia production,0.00015959083,0.06863096,1.8495547,0.87646378,0.2525639,0.00113145707,0.00015959083,0.010294644,1.9136132e-06,1.103332e-07,0.00054973074,0.010294644
electricity EU ,MJ ,Electricity Cyprus production,5.6944204e-05,0.1813101466666667,2.6843831,2.4462897,0.039084199,0.0068667991,5.6944204e-05,0.027196522,5.0554081e-06,2.9726435e-07,0.0012895093,0.027196522
electricity EU ,MJ ,Electricity Czechia production,2.1429668e-05,0.1298293533333333,3.0127676,1.4096883,0.24252078,0.00128159726,0.010339521668,0.019474403,3.6199868e-06,9.8900502e-08,0.00047995211,0.019474403
electricity EU ,MJ ,Electricity Denmark production,0.00021696049,0.03944384733333333,1.8296605,0.37656596,0.73906475,0.0015812958,0.00021696049,0.0059165771,1.0997991e-06,1.3547916e-07,0.00066729453,0.0059165771
electricity EU ,MJ ,Electricity Estonia production,7.5570921e-05,0.21448576,2.7504609,1.7533763,0.74218581,0.006082423599999999,7.5570921e-05,0.032172864,5.9804321e-06,3.2070563e-07,0.0014596121,0.032172864
electricity EU ,MJ ,Electricity Finland production,9.9510322e-05,0.02099626733333333,2.401601,0.16818403,0.48729332,0.0013528136,0.011007532322,0.0031494401,5.8543165e-07,9.9548483e-08,0.00048021621,0.0031494401
electricity EU ,MJ ,Electricity France production,6.5929224e-05,0.02741435933333334,2.6755028,0.21969373,0.066673161,0.00080966066,0.017275159224,0.0041121539,7.6438509e-07,5.1165505e-08,0.00023994525,0.0041121539
electricity EU ,MJ ,Electricity Germany production,0.00013062505,0.1203623,2.1443629,1.3179414,0.32044092,0.00150249518,0.00057572418,0.018054345,3.3560203e-06,1.2637073e-07,0.00061988229,0.018054345
electricity EU ,MJ ,Electricity Greece production,0.00014835732,0.13845878,1.9366547,1.3604941,0.042435543,0.0016754389,0.00014835732,0.020768817,3.8605982e-06,1.314995e-07,0.00063789889,0.020768817
electricity EU ,MJ ,Electricity Hungary production,6.6842741e-05,0.07137552666666667,2.8066416,0.83534663,0.18803359,0.00127731762,0.012563325741,0.010706329,1.990139e-06,1.1019931e-07,0.00054103312,0.010706329
electricity EU ,MJ ,Electricity Ireland production,0.00013058324,0.1172330666666667,1.9709216,1.4129294,0.1178311,0.00160296769,0.00013058324,0.01758496,3.268769e-06,1.6047977e-07,0.00080042163,0.01758496
electricity EU ,MJ ,Electricity Italy production,9.5454882e-05,0.1121204533333333,2.0707889,1.462074,0.22960945,0.00195830383,9.5454882e-05,0.016818068,3.1262157e-06,1.7632886e-07,0.00087021116,0.016818068
