industry,unit,process,metals,carbon,ced,non-renewable,renewable,global warming,global warming.1,ozone formation,climate change,photochemical ozone formation,resource use,carbon.1
food,food,M.020.01.101,"Material, Food, Potatoes and root vegetables",0.36533983,Pre-baked frozen fries,0.499037952143811,0.01679436408591,0.116903758057901,0.0,0.36533983,0.092201087,0.024702639,0.016794033,0.0
food,food,M.020.01.102,"Material, Food, Potatoes and root vegetables",0.050916894,Potatoes without skin,0.0927212053755543,0.005144102758512,0.0366602086170423,0.0,0.050916894,0.029197285,0.0074629145,0.0051440086,0.0
food,food,M.020.02.101,"Material, Food, Alcoholic beverages",0.062112276,Beer (bottle),0.090267946961027,0.00324886589082,0.024906805070207,0.0,0.062112276,0.01924853,0.0056582629,0.0032487402,0.0
food,food,M.020.02.102,"Material, Food, Alcoholic beverages",0.34538307,Young gin,0.421407855865282,0.00025882438302,0.075765961482262,0.0,0.34538307,0.065071631,0.01069426,0.00025809646,0.0
food,food,M.020.02.103,"Material, Food, Alcoholic beverages",0.28008949,Wine red,0.390248503402716,0.00549274657527,0.104666266827446,0.0,0.28008949,0.096153406,0.0085128474,0.0054926079,0.0
food,food,M.020.02.104,"Material, Food, Alcoholic beverages",0.29732439,Wine rose,0.407247298505859,0.005280549719530001,0.104642358786329,0.0,0.29732439,0.096446931,0.0081954148,0.0052804156,0.0
food,food,M.020.02.105,"Material, Food, Alcoholic beverages",0.31455928,Wine white dry,0.424246082509002,0.00506835276379,0.104618449745212,0.0,0.31455928,0.096740455,0.0078779822,0.0050682232,0.0
food,food,M.020.03.101,"Material, Food, Bread",0.14985747,Baguette white,0.246009414466818,0.01483240400723,0.081319540459588,0.0,0.14985747,0.061691505,0.019628022,0.014832265,0.0
food,food,M.020.03.102,"Material, Food, Bread",0.14572234,Bread multigrain,0.24032452964368,0.01469443128569,0.07990775835799001,0.0,0.14572234,0.060311464,0.01959628,0.014694283,0.0
food,food,M.020.03.103,"Material, Food, Bread",0.17703517,Bread rye,0.262544837761191,0.01189060521627,0.073619062544921,0.0,0.17703517,0.057330647,0.016288401,0.011890455,0.0
food,food,M.020.03.104,"Material, Food, Bread",0.14474345,Bread white water,0.240395720540065,0.01507275136778,0.080579519172285,0.0,0.14474345,0.060560542,0.020018963,0.015072605,0.0
food,food,M.020.03.105,"Material, Food, Bread",0.12391632,Bread whole wheat,0.203071931800289,0.01245822898856,0.066697382811729,0.0,0.12391632,0.050136494,0.016560877,0.012458107,0.0
food,food,M.020.03.106,"Material, Food, Bread",0.21531825,Currant Bun,0.349418366980447,0.01991220058829,0.114187916392157,0.0,0.21531825,0.087053278,0.027134615,0.019911959,0.0
food,food,M.020.03.107,"Material, Food, Bread",0.22521493,Crispbread,0.352546504033222,0.01632932249174,0.111002251541482,0.0,0.22521493,0.088844605,0.022157628,0.016329131,0.0
