industry,unit,process,metals,carbon,ced,non-renewable,renewable,global warming,global warming.1,ozone formation,climate change,photochemical ozone formation,resource use,carbon.1
agriculture,kg ,Leather Chrome tanning - hides from Argentia,1.0893707,15.91110866666667,115.5936,96.143267,1.3202903,1.0887354357,1.207722797,2.3866663,0.00044364392,0.00010077134,0.52182214,2.3866663
agriculture,kg ,Leather Vegetable tanning - hides from Europe,0.0024757985,17.96724533333333,94.793388,83.532308,0.89667562,0.126751043211,0.0434070851987,2.6950868,0.00050097448,9.1243975e-06,0.043863751,2.6950868
agriculture,kg ,Wool (from Australia transported to Rotterdam),0.00033613794,78.08035333333333,61.672334,59.859422,0.027980426,0.06182381989,0.3447697000402,11.712053,0.0021770875,2.793886e-06,0.013128738,11.712053
agriculture,kg ,Wool at farm Australia,0.00031267287,77.76054666666667,57.456901,55.667559,0.025185291,0.05050785162,0.3171359278819,11.664082,0.0021681703,2.5221249e-06,0.01222746,11.664082
agriculture,kg ,"wool, greasy, at farm Australia",0.00015633644,38.88027266666667,28.728451,27.83378,0.012592646,0.02525392605,0.15856796394597,5.8320409,0.0010840852,1.2610624e-06,0.00611373,5.8320409
agriculture,kg ,Crude palm kernel oil refined,0.00010106564,0.9454963333333333,4.7459387,3.7280161,0.12176615,0.6267255069779999,0.01552219957225,0.14182445,2.6362947e-05,1.6371254e-06,0.0078860692,0.14182445
agriculture,kg ,Palm kernel oil - crude from trees,5.7844981e-06,0.62467408,0.076579014,0.071359462,0.0030154882,0.585241462141,0.00032332388691,0.093701112,1.7417571e-05,1.3068489e-06,0.0063136363,0.093701112
agriculture,kg ,Potatoe starch DE,0.00016335898,0.6295541800000001,9.797963,8.6965286,0.12169125,0.015183558369,0.01288145912032,0.094433127,1.7553641e-05,7.4118716e-07,0.003675088,0.094433127
agriculture,kg ,Potatoes DE,5.9277383e-06,0.04100911,0.61208713,0.58262434,0.0022269606,0.0021578147616,0.0016410298577534,0.0061513665,1.1434428e-06,5.185888e-08,0.00024985217,0.0061513665
agriculture,kg ,Rape cake Europe,3.5122228e-05,0.1958572333333333,14.0023,1.3303857,12.618788,0.1224497872704,0.00182589893396,0.029378585,5.4610193e-06,2.5549821e-07,0.0012750252,0.029378585
agriculture,kg ,Soy meal at coast Brazil,0.00025011442,5.9301754,7.357908,6.7878933,0.14251228,0.64897846191,0.0195301198365,0.88952631,0.00016534903,1.7868832e-06,0.0090479405,0.88952631
agriculture,kg ,Soy meal at coast USA,8.6914852e-05,0.4845040333333334,5.777495,5.338337,0.05593646,0.013299379555,0.01366825657392,0.072675605,1.3509258e-05,1.479571e-06,0.0074813919,0.072675605
agriculture,kg ,Soy oil - refined at coast Brazil,0.00026236889,6.1755812,7.7350208,7.1197923,0.15097077,0.6754484948999999,0.0204305780728,0.92633718,0.00017219159,1.8644425e-06,0.0094400977,0.92633718
agriculture,kg ,Soy oil - refined at coast USA,9.2523729e-05,0.5082077733333333,6.0901523,5.6111166,0.060869335,0.013890772117,0.01432980356227,0.076231166,1.4170181e-05,1.5445897e-06,0.0078096235,0.076231166
agriculture,kg ,Soybean grain - harvested and transported to coast Brazil,0.00021708082,5.6716498,5.1293553,4.7651385,0.11796709,0.63333029844,0.0181840772105,0.85074747,0.00015814065,9.7629352e-07,0.0048846708,0.85074747
agriculture,kg ,Soybean grain - harvested and transported to coast USA,5.7130491e-05,0.3344457866666667,3.5803134,3.344355,0.033114774,0.010313554222,0.0124387204177,0.050166868,9.325236e-06,6.750746e-07,0.0033491846,0.050166868
agriculture,kg ,Soybean oil crude - degummed at coast Brazil,0.00025028513,5.9342228,7.3629298,6.7925261,0.14260954,0.64942139038,0.0195434484597,0.89013342,0.00016546188,1.7881028e-06,0.0090541158,0.89013342
agriculture,kg ,"Soybean oil, crude - degummed at coast USA",8.6972477e-05,0.48482526,5.7813255,5.3418763,0.055973546,0.013308197084,0.01367731862438,0.072723789,1.3518215e-05,1.4805519e-06,0.0074863521,0.072723789
agriculture,kg ,Palm oil in Rotterdam,0.00011018022,1.024658933333333,44.799972,4.7732517,39.124262,0.62954321701,0.0223234966953,0.15369884,2.8570209e-05,1.7091294e-06,0.0081372688,0.15369884
agriculture,kg ,Rape oil Europe,0.00010872923,0.6063227333333333,43.347457,4.1185259,39.064464,0.379072504645,0.005652505198600001,0.09094841,1.6905887e-05,7.9095558e-07,0.0039471443,0.09094841
agriculture,kg ,Soybean oil from Brazil in Rotterdam,0.00028382998,6.230734733333334,47.51778,7.8828804,39.160953,0.67748783411,0.0249914993351,0.93461021,0.00017372942,1.9362501e-06,0.0097435709,0.93461021
agriculture,kg ,Soybean oil from USA in Rotterdam,0.00011347212,0.5544217733333333,45.755538,6.2573613,39.070852,0.015614517224,0.0181166031255,0.083163266,1.545875e-05,1.6090059e-06,0.008089121,0.083163266
agriculture,kg ,bio-Cotton China,0.00018071234,0.2861317733333333,5.006887,3.6915384,0.18771286,0.004916200115999999,0.91130191734,0.042919766,7.978113e-06,3.5920204e-07,0.0017840696,0.042919766
agriculture,kg ,bio-Cotton India,0.00020858245,0.3797528866666667,6.5702766,4.9501344,0.22201568,0.006061829063,0.82591982445,0.056962933,1.0588518e-05,4.3556084e-07,0.0021562311,0.056962933
agriculture,kg ,bio-Cotton USA,0.00037481736,0.7626977333333333,13.23279,9.7220371,0.44725218,0.0104799701,0.87115352036,0.11440466,2.1266037e-05,7.8316535e-07,0.0038557772,0.11440466
agriculture,kg ,Cotton China,0.00024353389,0.6614259133333333,10.375364,8.8424415,0.20620382,0.015881817769,0.91385936289,0.099213887,1.8442309e-05,9.9510306e-07,0.0048412935,0.099213887
agriculture,kg ,Cotton India,0.00032939677,1.101339266666667,16.886421,14.839486,0.25866483,0.028798131389,0.8310051607700001,0.16520089,3.070826e-05,1.6647248e-06,0.0080586991,0.16520089
agriculture,kg ,Cotton trade mix China - India - USA,0.00033485407,1.000428,15.678095,13.348004,0.29636333,0.023660013729,0.87186667207,0.1500642,2.7894588e-05,1.4391063e-06,0.0069847315,0.1500642
agriculture,kg ,Cotton USA,0.00046762224,1.313870133333333,21.129109,17.291289,0.4752885,0.02667187574,0.87503697524,0.19708052,3.6634185e-05,1.7112525e-06,0.0083210508,0.19708052
agriculture,kg ,Jute fibres  Bangladesh - rainfed,0.00012616138,0.9622026666666667,4.0090185,3.7870852,0.061497212,0.029909977893,0.01614499558,0.1443304,2.6828763e-05,7.8726507e-07,0.0039650166,0.1443304
agriculture,kg ,Jute fibres trade mix,0.00012616138,0.9622026666666667,4.0090185,3.7870852,0.061497211,0.029909977993,0.11041719648,0.1443304,2.6828763e-05,7.8726507e-07,0.0039650166,0.1443304
agriculture,kg ,Jute fibres Bangladesh,0.00012616138,0.9622026666666667,4.0090185,3.7870852,0.061497212,0.029909977893,0.06080372358,0.1443304,2.6828763e-05,7.8726507e-07,0.0039650166,0.1443304
agriculture,kg ,Jute fibres India,0.00012616138,0.9622026666666667,4.0090185,3.7870852,0.061497212,0.029909977893,0.51149843658,0.1443304,2.6828763e-05,7.8726507e-07,0.0039650166,0.1443304
agriculture,kg ,Jute fibres India - rainfed,0.00012616138,0.9622026666666667,4.0090185,3.7870852,0.061497212,0.029909977893,0.07727818857999999,0.1443304,2.6828763e-05,7.8726507e-07,0.0039650166,0.1443304
agriculture,kg ,Kenaf fibres Italy,0.00012239427,0.3303198333333334,5.2297336,4.4298144,0.10664184,0.006515581929,0.22474452947,0.049547975,9.2101933e-06,4.7226817e-07,0.0023020134,0.049547975
agriculture,kg ,Kenaf fibres India,0.00012239427,0.3303198333333334,5.2297336,4.4298144,0.10664184,0.006515581929,0.26143415947,0.049547975,9.2101933e-06,4.7226817e-07,0.0023020134,0.049547975
agriculture,kg ,Linseed produced in region,0.00017109207,0.9423973333333334,14.686937,14.150908,0.057911567,0.01495384305,0.07188776921500001,0.1413596,2.6276539e-05,8.4763384e-07,0.0041641225,0.1413596
agriculture,kg ,European Flax scutched - long fibres (12% moisture content),0.00013495153,1.377814533333333,10.828352,10.659936,0.0,0.0986610733204,0.00107759645,0.20667218,3.8417125e-05,6.6555822e-06,0.034691773,0.20667218
