industry,unit,process,metals,carbon,ced,non-renewable,renewable,global warming,global warming.1,ozone formation,climate change,photochemical ozone formation,resource use,carbon.1
chemicals,kg ,HCL (hydrochloric acid),1.579817e-07,0.2090058666666667,6.4803149,6.1131872,0.034427437,0.08958605941476601,8.8303698208e-06,0.03135088,5.8276381e-06,1.3084794e-07,0.000417262,0.03135088
chemicals,kg ,Nitric acid,2.4588963e-06,0.6367931466666666,0.087160556,0.060425056,0.0032418237,5.3229151932e-05,0.0001210099763,0.095518972,1.7755483e-05,5.1392423e-09,2.539036e-05,0.095518972
chemicals,kg ,Phosphoric acid,0.0050610211,0.4684158066666667,7.4389603,7.1167515,0.031121507,0.0034495095867,0.0065659902,0.070262371,1.3060676e-05,1.8719504e-06,0.0097271544,0.070262371
chemicals,kg ,Sulphuric acid,0.0032580996,0.08892,1.56066,1.56066,0.0,3.066579e-05,0.0032580996,0.013338,2.4793255e-06,9.7128344e-07,0.0050796,0.013338
chemicals,kg ,Boric acid,0.070820357,8.856381333333333,57.483868,36.732597,2.5364029,0.3185993759189999,0.162642333,1.3284572,0.00024693941,2.1992439e-05,0.10517031,1.3284572
chemicals,kg ,Acetic acid trade mix,0.00037394937,1.9576598,30.555022,28.466069,1.474414,0.0190507850753,0.003794858532916,0.29364897,5.4584749e-05,2.3123126e-06,0.011754435,0.29364897
chemicals,kg ,Acetic Anhydride trade mix,0.00058319086,1.876119866666667,52.548438,50.020569,0.78961502,0.0283317178736,0.020787084434593,0.28141798,5.23112e-05,3.3733702e-06,0.017116101,0.28141798
chemicals,kg ,Acetic Anhydride Halcon process,0.00052956202,0.9553889333333334,37.180927,35.378908,0.15630993,0.0242105208767,0.00941549642,0.14330834,2.6638779e-05,3.0570175e-06,0.015536884,0.14330834
chemicals,kg ,Acetic Anhydride Ketene process,0.00067853104,3.512974933333334,79.868458,76.05019,1.9154907,0.03565829154799999,0.041003241302758,0.52694624,9.7951063e-05,3.935775e-06,0.019923597,0.52694624
chemicals,kg ,Chloroacetic acid (1),0.00029772436,2.2126572,27.006297,21.889956,1.0081249,0.0468634754923,0.003996213659525001,0.33189858,6.1694753e-05,2.3431525e-06,0.010508443,0.33189858
chemicals,kg ,Maleic acid,9.10307e-05,0.35,52.756089,52.506884,0.019714852,0.04135759222,0.0018853677,0.0525,9.7589287e-06,4.2112557e-06,0.0212364,0.0525
chemicals,kg ,Adipic acid,0.00095798544,3.957494466666667,59.806456,58.539632,0.28859994,0.113378205686,0.008010833154,0.59362417,0.00011034545,4.2447472e-06,0.020069664,0.59362417
chemicals,kg ,Methacrylic acid,0.13098,6.624000000000001,122.50976,111.68136,1.3275663,0.52961214,0.193520914,0.9936,0.0001846947,2.8513751e-05,0.1377,0.9936
chemicals,kg ,Fertilizer-N,0.00069226239,4.222249133333333,60.149503,57.999179,0.17206149,0.09967911587199998,0.023316320561,0.63333737,0.00011772751,7.233892e-06,0.034772526,0.63333737
chemicals,kg ,Fertilizer-P,0.00024147819,1.2045356,17.446076,15.773063,0.18260313,0.035337448449,0.019615076548481,0.18068034,3.3585649e-05,2.19544e-06,0.01030577,0.18068034
