industry,unit,process,metals,carbon,ced,non-renewable,renewable,global warming,global warming.1,ozone formation,climate change,photochemical ozone formation,resource use,carbon.1
food,kg ,Pre-baked frozen fries,0,2.435598867,0,0,0,0.116903758,0,0.36533983,6.79E-05,4.08E-06,0.016794033,0.36533983
food,kg ,Potatoes without skin,0,0.33944596,0,0,0,0.036660209,0,0.050916894,9.46E-06,1.26E-06,0.005144009,0.050916894
food,kg ,Beer (bottle),0,0.41408184,0,0,0,0.024906805,0,0.062112276,1.15E-05,8.03E-07,0.00324874,0.062112276
food,kg ,Young gin,0,2.3025538,0,0,0,0.075765961,0,0.34538307,6.42E-05,6.65E-07,0.000258096,0.34538307
food,kg ,Wine red,0,1.867263267,0,0,0,0.104666267,0,0.28008949,5.21E-05,1.96E-06,0.005492608,0.28008949
food,kg ,Wine rose,0,1.9821626,0,0,0,0.104642359,0,0.29732439,5.53E-05,1.92E-06,0.005280416,0.29732439
food,kg ,Wine white dry,0,2.097061867,0,0,0,0.10461845,0,0.31455928,5.85E-05,1.88E-06,0.005068223,0.31455928
food,kg ,Baguette white,0,0.9990498,0,0,0,0.08131954,0,0.14985747,2.79E-05,3.42E-06,0.014832265,0.14985747
food,kg ,Bread multigrain,0,0.971482267,0,0,0,0.079907758,0,0.14572234,2.71E-05,3.38E-06,0.014694283,0.14572234
food,kg ,Bread rye,0,1.180234467,0,0,0,0.073619063,0,0.17703517,3.29E-05,2.82E-06,0.011890455,0.17703517
food,kg ,Bread white water,0,0.964956333,0,0,0,0.080579519,0,0.14474345,2.69E-05,3.45E-06,0.015072605,0.14474345
food,kg ,Bread whole wheat,0,0.8261088,0,0,0,0.066697383,0,0.12391632,2.30E-05,2.86E-06,0.012458107,0.12391632
food,kg ,Currant Bun,0,1.435455,0,0,0,0.114187916,0,0.21531825,4.00E-05,4.63E-06,0.019911959,0.21531825
food,kg ,Crispbread,0,1.501432867,0,0,0,0.111002252,0,0.22521493,4.19E-05,3.96E-06,0.016329131,0.22521493
food,kg ,Croissant,0,2.049475667,0,0,0,0.127218808,0,0.30742135,5.71E-05,5.63E-06,0.024780113,0.30742135
food,kg ,White bread hard,0,0.964956333,0,0,0,0.080579519,0,0.14474345,2.69E-05,3.45E-06,0.015072605,0.14474345
food,kg ,White bread soft,0,0.964956333,0,0,0,0.080579519,0,0.14474345,2.69E-05,3.45E-06,0.015072605,0.14474345
food,kg ,Mealworms,0,3.3039532,0,0,0,0.288522456,0,0.49559298,9.21E-05,1.11E-05,0.047235049,0.49559298
food,kg ,Seaweed kelp raw,0,0.46204914,0,0,0,0.013492321,0,0.069307371,1.29E-05,1.32E-07,4.57E-05,0.069307371
food,kg ,Chicken egg,0,3.355513467,0,0,0,0.576020623,0,0.50332702,9.36E-05,1.03E-05,0.027080903,0.50332702
food,kg ,Applesauce (can),0,1.654060067,0,0,0,0.057616,0,0.24810901,4.61E-05,1.14E-06,0.003440505,0.24810901
food,kg ,Applesauce (glass),0,1.714149933,0,0,0,0.072628625,0,0.25712249,4.78E-05,1.29E-06,0.003459238,0.25712249
food,kg ,Apple,0,0.315567087,0,0,0,0.019581187,0,0.047335063,8.80E-06,6.00E-07,0.002343919,0.047335063
food,kg ,Apricots,0,0.723478067,0,0,0,0.039650482,0,0.10852171,2.02E-05,1.04E-06,0.003750664,0.10852171
food,kg ,Avocado,0,0.66538404,0,0,0,0.053216493,0,0.099807606,1.86E-05,1.41E-06,0.005118882,0.099807606
food,kg ,Banana,0,0.35141156,0,0,0,0.034813578,0,0.052711734,9.80E-06,1.01E-06,0.003772297,0.052711734
food,kg ,Coconut milk (can),0,1.225393467,0,0,0,0.05437868,0,0.18380902,3.42E-05,8.38E-07,0.001841924,0.18380902
food,kg ,Coconut milk (pack),0,0.739481933,0,0,0,0.033682904,0,0.11092229,2.06E-05,6.57E-07,0.001908337,0.11092229
