industry,unit,process,metals,carbon,ced,non-renewable,renewable,global warming,global warming.1,ozone formation,climate change,photochemical ozone formation,resource use,carbon.1
fuels,m3 ,Diesel B7  - including combustion CO2,0.21668663,2858.327333333334,46758.303,43077.226,2284.951,39.43388079,242.938964602683,428.7491,0.079697751,0.0019881448,9.6429091,428.7491
fuels,m3 ,Diesel B10  - including combustion CO2,0.21645876,2799.252866666667,46790.267,42138.281,3272.4035,39.09306892000001,236.2754947505,419.88793,0.078050598,0.001986239,9.6433923,419.88793
fuels,m3 ,Diesel B100 (FAME) - including combustion CO2,0.20569996,748.278,47063.868,11415.551,34820.237,27.560397577,19.2489775707,112.2417,0.020863977,0.0018934447,9.5044232,112.2417
fuels,m3 ,Diesel XTL (HVO) form tallow waste - including combustion CO2,0.11282851,294.6922866666667,38740.507,4290.6397,34362.262,6.023391182,8.974090662,44.203843,0.0082168028,0.00041162077,2.0132268,44.203843
fuels,m3 ,Gasoline E5 - including combustion CO2,0.22710789,2880.933333333333,44226.866,41837.168,1096.8821,38.76999642099999,223.23288147114,432.14,0.080328065,0.0026139632,12.564764,432.14
fuels,m3 ,Gasoline E10 - including combustion CO2,0.23009562,2790.875466666667,43989.878,40508.464,2197.0682,37.37874192599999,212.174422853307,418.63132,0.077817014,0.0025477298,12.263759,418.63132
fuels,m3 ,Gasoline E85 - including combustion CO2,0.28210186,1436.143666666667,41236.976,20529.4,19527.957,16.348098931,43.13873567856,215.42155,0.040043496,0.0015634633,7.8057535,215.42155
fuels,kg ,CNG - including combustion CO2,0.00073343224,3.971818133333334,58.84974,57.934432,0.0,0.03850812681100001,0.31585650224,0.59577272,0.00011074483,4.6995628e-06,0.023900938,0.59577272
fuels,kg ,LNG - including combustion CO2,0.00073343224,3.971818133333334,58.84974,57.934432,0.0,0.03850812681100001,0.31585650224,0.59577272,0.00011074483,4.6995628e-06,0.023900938,0.59577272
fuels,m3 ,LPG - including combustion CO2,0.046444235,1714.285733333333,26916.372,26789.227,10.058598,21.10081207,159.125184235,257.14286,0.047798834,0.0021485998,10.834898,257.14286
fuels,kg ,Brown Hydrogen - including combustion CO2,0.0022338394,11.76893066666667,174.91564,171.23112,0.12409792,0.11465504831,0.02235208533,1.7653396,0.00032814902,1.3904061e-05,0.07067062,1.7653396
fuels,km, Gasoline E10 - lease segment A (5.14 l/100km) including combustion CO2,1.1274655e-05,0.1367532266666667,2.1555017,1.9849126,0.10765631,0.0024518349509,0.0103965450191894,0.020512984,3.8130428e-06,2.2436094e-07,0.0011215593,0.020512984
fuels,km, Gasoline E10 - lease segment B (6.04 l/100km) including combustion CO2,1.2195035e-05,0.1479167533333333,2.331461,2.1469463,0.11644458,0.002601349255099999,0.0112452425921844,0.022187513,4.1243116e-06,2.3453955e-07,0.00117055,0.022187513
fuels,km, Gasoline E10 - lease segment C (7.10 l/100km) including combustion CO2,1.3115415e-05,0.15908028,2.5074203,2.30898,0.12523285,0.002750863549200001,0.0120939401651795,0.023862042,4.4355804e-06,2.4471815e-07,0.0012195406,0.023862042
fuels,km, Gasoline E10 - lease segment D (7.20 l/100km) including combustion CO2,1.5416365e-05,0.1869891066666667,2.9473186,2.7140642,0.14720353,0.003124649249600001,0.0142156835976671,0.028048366,5.2137524e-06,2.7016466e-07,0.0013420172,0.028048366
fuels,km, Gasoline E10 - lease segment E (9.44 l/100km) including combustion CO2,2.024836e-05,0.2455976266666667,3.871105,3.5647411,0.19334194,0.0039095992015,0.0186713456058911,0.036839644,6.8479136e-06,3.2360234e-07,0.0015992181,0.036839644
fuels,km, Diesel B10 - lease segment B (4.83 l/100km) including combustion CO2,9.5110311e-06,0.1233076533333333,2.0577513,1.8531764,0.14397272,0.002543529222,0.010395126978937,0.018496148,3.4381445e-06,2.9952194e-07,0.0015341525,0.018496148
fuels,km, Diesel B10 - lease segment C (5.03 l/100km) including combustion CO2,1.0159511e-05,0.1317149933333333,2.1980525,1.9795293,0.15378904,0.002660562057,0.01110388629619,0.019757249,3.6725634e-06,3.0545876e-07,0.0015629771,0.019757249
fuels,km, Diesel B10 - lease segment D (5.41 l/100km) including combustion CO2,1.080799e-05,0.1401223333333333,2.3383537,2.1058823,0.16360536,0.002777595002,0.011812644612542,0.02101835,3.9069824e-06,3.1139557e-07,0.0015918016,0.02101835
fuels,km, Diesel B10 - lease segment E (10.20 l/100km) including combustion CO2,1.5347346e-05,0.1989737066666667,3.3204623,2.9903528,0.23231962,0.003596825401,0.01677395583001,0.029846056,5.547915e-06,3.529533e-07,0.0017935737,0.029846056
fuels,km, BEV - lease segment A (14.86 kWh/100km) WTW CO2,4.6748523e-05,0.04554260866666666,1.196605,0.55419831,0.10767219,0.00071406511,0.002950708723,0.0068313913,1.2698488e-06,5.8692555e-08,0.00028674859,0.0068313913
