industry,unit,process,metals,carbon,ced,non-renewable,renewable,global warming,global warming.1,ozone formation,climate change,photochemical ozone formation,resource use,carbon.1
"metals, ferro",kg ,Steel market mix USA 69.2% EAF for beams & sheet,0.0219912,1.2400796,14.468374,14.468374,0.0,0.0487104663053245,0.0219912,0.18601194,3.457671e-05,3.157643e-06,0.015804816,0.18601194
"metals, ferro",kg ,Steel virgin + 15% scrap BOF for beams & sheet,0.0714,2.509,23.95995,23.95995,0.0,0.1065569106968955,0.0714,0.37635,6.9957577e-05,6.5407699e-06,0.031899154,0.37635
"metals, ferro",kg ,Steel from 100% scrap EAF for beams & sheet,0.0,0.6753,10.2438,10.2438,0.0,0.02296378238595479,0.0,0.101295,1.8829156e-05,1.6518582e-06,0.00864144,0.101295
"metals, ferro",kg ,Steel market mix Europe 49.8% EAF for beams & sheet,0.0358428,1.5958174,17.129307,17.129307,0.0,0.064927532695447,0.0358428,0.23937261,4.4495623e-05,4.1060919e-06,0.020316812,0.23937261
"metals, ferro",kg ,Steel market mix China 9% EAF for beams & sheet,0.06426,2.32563,22.588335,22.588335,0.0,0.0981975974958014,0.06426,0.3488445,6.4844735e-05,6.0518788e-06,0.029573382,0.3488445
"metals, ferro",kg ,Steel welded pipes 8.5% scrap BOF,0.07686,2.799,30.156,30.156,0.0,0.0541040020809918,0.07686,0.41985,7.8043547e-05,2.2077272e-06,0.008998236,0.41985
"metals, ferro",kg ,Steel seamless pipes 33% scrap BOF,0.05628,3.157,30.261,30.261,0.0,0.115591167,0.05628,0.47355,8.8025537e-05,9.475957e-06,0.049572,0.47355
"metals, ferro",kg ,GG35,0.0269365,1.2159612,15.486373,15.312773,0.00034939189,0.0299488118819,0.028018689736027,0.18239418,3.3904224e-05,2.1791094e-06,0.010871073,0.18239418
"metals, ferro",kg ,GGG-NiCr,1.1682388,2.375380666666667,35.373681,34.84548,0.00074869691,1.2235687104827,1.172897866762916,0.3563071,6.6231915e-05,2.2755967e-05,0.059775812,0.3563071
"metals, ferro",kg ,GGG-NiSiCr,1.1820495,2.424924,35.894285,35.354913,0.0010980888,1.2233982795677,1.186837831798944,0.3637386,6.7613315e-05,2.2770712e-05,0.059855857,0.3637386
"metals, ferro",kg ,GGG40,0.0269365,1.2159612,15.486373,15.312773,0.00034939189,0.0299488118819,0.028018689736027,0.18239418,3.3904224e-05,2.1791094e-06,0.010871073,0.18239418
"metals, ferro",kg ,GGG60,0.026872748,1.384873066666667,15.678849,15.60015,0.00034939189,0.0741499876064,0.027410026196027,0.20773096,3.8613936e-05,4.0066665e-06,0.018671396,0.20773096
"metals, ferro",kg ,GGG70,0.029099199,1.270227066666667,15.57808,15.312773,0.00034939189,0.0343140003819,0.030919624836027,0.19053406,3.5417301e-05,2.3451234e-06,0.011621376,0.19053406
"metals, ferro",kg ,GGL-NiCuCr,0.91540892,2.105812133333334,30.59064,30.075274,0.00084757884,0.9574310628138,0.919644220903214,0.31587182,5.8715631e-05,1.8178353e-05,0.048980443,0.31587182
"metals, ferro",kg ,"Stainless Steel (secondary), average",0.00012352012,1.8179698,23.730446,23.536902,0.06936682,0.073840294806,0.008988701853299998,0.27269547,5.0689823e-05,5.3843866e-06,0.026123725,0.27269547
"metals, ferro",kg ,GX12Cr14 (CA15) 23% inox scrap (China),0.23121425,5.697375933333334,43.908125,40.09121,0.023547849,0.410055470125,0.26511863567644,0.85460639,0.00015885796,1.7800056e-05,0.080310809,0.85460639
"metals, ferro",kg ,GX12Cr14 (CA15) 44% inox scrap (World),0.16702238,4.619763133333334,38.303214,35.492791,0.036275341,0.316662360674,0.1939714318311,0.69296447,0.00012881125,1.4351259e-05,0.065258842,0.69296447
