industry,unit,process,metals,carbon,ced,non-renewable,renewable,global warming,global warming.1,ozone formation,climate change,photochemical ozone formation,resource use,carbon.1
paper & packaging,kg ,Board (solid) and recycled paper (test liner and fluting) in Europe,0.00016706602,0.6090901733333334,8.7311964,7.8524184,0.1079546,-0.02969275096,0.00615573436758,0.091363526,1.698305e-05,1.286434e-06,0.00656889,0.091363526
paper & packaging,kg ,Brown paper (kraft liner),0.00016748228,0.3927333866666667,6.1718623,5.1008642,0.15074925,0.015517139075,0.0106129749103,0.058910008,1.0950449e-05,1.4744505e-06,0.0074483254,0.058910008
paper & packaging,m2 ,Brown paper (kraft liner) 70 gr/m2,1.1724346e-05,0.027492712,0.43205196,0.35707835,0.010552975,0.0010862540422,0.0007429454045169999,0.0041239068,7.6656975e-07,1.032167e-07,0.00052140885,0.0041239068
paper & packaging,kg ,Brown paper (kraft liner) - FSC or wood waste based,0.00016748228,0.3927333866666667,6.1718623,5.1008642,0.15074924,0.015517139065,0.0106129749103,0.058910008,1.0950449e-05,1.4744505e-06,0.0074483254,0.058910008
paper & packaging,kg ,Moulded fibre products,0.00011933287,0.4350644066666667,6.2365689,5.6088703,0.077110428,-0.02120910813,0.00439695314685,0.065259661,1.213075e-05,9.1888139e-07,0.0046920643,0.065259661
paper & packaging,kg ,Paper woodfree uncoated bleached,0.00017677688,0.40242154,6.433261,5.3008171,0.15793347,0.015076610322,0.0111052656931,0.060363231,1.122058e-05,1.4578093e-06,0.0073898805,0.060363231
paper & packaging,m2 ,Paper woodfree uncoated bleached 80 gr/m2,1.4142151e-05,0.03219372333333334,0.51466088,0.42406537,0.012634678,0.0012061288156,0.00088842127605,0.0048290585,8.9764642e-07,1.1662474e-07,0.00059119044,0.0048290585
paper & packaging,kg ,Paper woodfree uncoated bleached -  FSC or waste wood based,0.00017677688,0.40242154,6.433261,5.3008171,0.15793347,0.015076610322,0.0111052656931,0.060363231,1.122058e-05,1.4578093e-06,0.0073898805,0.060363231
paper & packaging,kg ,Semichemical fluting,0.0001306688,0.4776557533333334,8.2683033,7.3896993,0.12945883,0.021734350312,0.0096098206166,0.071648363,1.331831e-05,1.5692848e-06,0.0077906113,0.071648363
paper & packaging,kg ,Semichemical fluting - FCS or wood waste based,0.0001306688,0.4776557533333334,8.2683033,7.3896993,0.12945883,0.021734350312,0.0096098206166,0.071648363,1.331831e-05,1.5692848e-06,0.0077906113,0.071648363
paper & packaging,kg ,Folding Boxboard GC1,0.00020513086,0.4952027333333334,8.1555387,6.7385663,0.19454472,0.016904428631,0.012326600055,0.07428041,1.3807566e-05,1.5702781e-06,0.0079130193,0.07428041
paper & packaging,kg ,Folding Boxboard GC2 or GC3,0.00025320386,0.6278351533333334,11.852454,10.025082,0.24253611,0.018569467674,0.014212483055,0.094175273,1.750571e-05,1.7434984e-06,0.0087806169,0.094175273
paper & packaging,kg ,Paper and board for (fat) food packaging,0.0001959292,0.4856114666666667,7.896754,6.540613,0.18743234,0.017340552121,0.011839232264,0.07284172,1.3540136e-05,1.5867529e-06,0.0079708798,0.07284172
paper & packaging,kg ,Bamboo paper in Shenzhen produced in Sichuan proxi,0.00038411251,0.3559258933333334,7.8827229,4.953752,1.8663975,0.017553973241,0.009959257230499998,0.053388884,9.9241584e-06,1.5786855e-06,0.0080129086,0.053388884
paper & packaging,m2 ,film HDPE 50 mu,5.6085955e-06,0.09547371333333333,4.2027104,4.0928636,0.05278571,0.04006553456,0.0002932564255,0.014321057,2.6620604e-06,8.8369467e-08,0.00035811317,0.014321057
paper & packaging,m2 ,film LDPE 50 mu,5.431482e-06,0.09567875333333334,4.2088212,4.0698752,0.083686793,0.04128133995,0.000283995702,0.014351813,2.6677775e-06,1.4686168e-07,0.00066556943,0.014351813
paper & packaging,m2 ,film PC 50 mu,7.0845417e-06,0.2165983733333333,6.8566748,6.4021529,0.38244469,0.04735042486987062,0.0003704291717,0.032489756,6.0393373e-06,1.2963509e-07,0.00051441028,0.032489756
paper & packaging,m2 ,film PET / PE+EVOH+PE 62 mu for MAP,1.611826e-05,0.1490731666666667,5.6571804,5.533653,0.073936974,0.05162397543711,0.0003233438925515,0.022360975,4.1565555e-06,2.8282815e-07,0.0013198878,0.022360975
paper & packaging,m2 ,film PET 50 mu,8.147223e-06,0.1655981266666667,5.3276359,5.2332049,0.011542189,0.04509199632999999,0.000425993553,0.024839719,4.6173152e-06,3.7188846e-07,0.0017191439,0.024839719
paper & packaging,m2 ,film PET+ALOx / LDPE 62 mu for MAP,0.00024734449,0.13515254,5.5003998,5.373132,0.07960833,0.052068660668551,0.00052041574871755,0.020272881,3.7684115e-06,2.7229631e-07,0.0012581322,0.020272881
paper & packaging,m2 ,film PET+PVOH / LDPE 62 mu for MAP,1.4120093e-05,0.1348409733333333,5.5655969,5.4414539,0.079660365,0.05258499359,0.000301976283,0.020226146,3.7597242e-06,2.8211161e-07,0.001306368,0.020226146
paper & packaging,m2 ,film PLA (biobased) 50 mu,4.9725036e-05,0.2439658066666667,5.0179742,3.4790398,1.4083731,0.00235628613971,0.000737071076,0.036594871,6.802414e-06,2.8301206e-07,0.0014368324,0.036594871
paper & packaging,m2 ,film PP 50 mu,5.3724441e-06,0.08371876666666667,3.9150982,3.8152455,0.045194154,0.04245580632,0.0002809087941,0.012557815,2.3343013e-06,6.1432438e-08,0.0002206794,0.012557815
paper & packaging,m2 ,film PP+PVDC 62 mu for MAP,2.370132e-05,0.20001732,5.6472019,5.1998168,0.040736269,0.0574185348,0.00252025322,0.030002598,5.5770136e-06,4.8462612e-07,0.0021864607,0.030002598
paper & packaging,m2 ,film PS (shrink) 50 mu,6.198974e-06,0.1244235733333333,4.8492472,4.7154476,0.0707321,0.04559582441772374,0.000324125524,0.018663536,3.4692594e-06,2.6461808e-07,0.0013806902,0.018663536
paper & packaging,m2 ,film PVC (stiff shrink) 50 mu,8.2652987e-06,0.1721981,4.7940196,4.4177104,0.29221907,0.03972697503,0.0004321673687,0.025829715,4.8013399e-06,6.5500185e-07,0.0034217163,0.025829715
paper & packaging,m2 ,Printing of multilayer film - UV Inkjet,0.00015796964,0.02200797933333333,0.49882554,0.35663633,0.070797048,0.00358732737,0.00073636253,0.0033011969,6.1364085e-07,7.3178601e-08,0.00036181697,0.0033011969
paper & packaging,m3 ,MAP Carbon Dioxide gas at 1 bar 0 degr C,0.00032616626,0.9465277333333333,15.322566,12.584333,0.31931963,0.009651568793199998,0.01258994826,0.14197916,2.6391704e-05,1.0442319e-06,0.0052371838,0.14197916
paper & packaging,m3 ,MAP Nitrogen gas at 1 bar 0 degr C,0.00016941584,0.2952197933333333,5.3256997,3.4265442,0.23461074,0.0033551300045,0.00888000286425,0.044282969,8.2315111e-06,3.0100912e-07,0.0014774473,0.044282969
paper & packaging,m3 ,MAP Oxygen gas at 1 bar 0 degr C,0.00027953361,0.4902247666666667,8.8459483,5.679163,0.38988611,0.005496028760199999,0.01464066310657,0.073533715,1.3668767e-05,4.959109e-07,0.0024329936,0.073533715
paper & packaging,kg ,Corrugated board box making  (excl the paper),4.8073005e-05,0.1326324133333333,3.6969153,3.2865157,0.047991395,0.00166503874643,0.001885882405,0.019894862,3.6981437e-06,1.7322039e-07,0.0008675976,0.019894862
paper & packaging,m2 ,Printing per m2  100%  offset conventional,6.5342223e-05,0.01223404533333333,0.28401835,0.19051203,0.044219057,0.001896258018,0.000328860459,0.0018351068,3.4111764e-07,2.3700305e-08,0.00011443848,0.0018351068
paper & packaging,m2 ,Printing per m2  100%  UV inkjet,0.00015796964,0.02200797933333333,0.49882554,0.35663633,0.070797048,0.00358732737,0.00073636253,0.0033011969,6.1364085e-07,7.3178601e-08,0.00036181697,0.0033011969
paper & packaging,m2 ,Printing per m2  offset  conventional  electricity only,4.0823873e-06,0.007259669333333333,0.1310752,0.083757979,0.0057835273,7.8982035e-05,0.0002134556373,0.0010889504,2.0241885e-07,7.2182983e-09,3.5378548e-05,0.0010889504
paper & packaging,m2 ,Printing per m2  UV inkjet  electricity only,5.3071035e-06,0.00943757,0.17039776,0.10888537,0.0075185855,0.000102676645,0.0002774923235,0.0014156355,2.631445e-07,9.3837878e-09,4.5992112e-05,0.0014156355
paper & packaging,m2 ,Printing per m2  extra paint varnish layer,9.3546356e-06,0.007948737333333334,0.20521385,0.20258101,0.0005680788,0.0015012721344,2.34513373e-05,0.0011923106,2.2163188e-07,4.9046067e-08,0.00024552501,0.0011923106
