industry,unit,process,metals,carbon,ced,non-renewable,renewable,global warming,global warming.1,ozone formation,climate change,photochemical ozone formation,resource use,carbon.1
processing metals,kg ,Deep drawing steel,0.00027993398,0.4978038533333334,8.9879769,5.7433807,0.3965831,0.0054158887,0.01463689798,0.074670578,1.3880092e-05,4.9496699e-07,0.0024259476,0.074670578
processing metals,kg ,Rolling steel,1.3877788e-17,0.15,1.785,1.785,0.0,0.003457754232103166,1.3877788e-17,0.0225,4.182398e-06,9.0621735e-08,0.000310284,0.0225
processing metals,m ,Fiber Laser cutting 1000 W  Steel 1mm thick  1 meter,3.0510516e-07,0.0005425655133333334,0.0097961601,0.0062598155,0.00043224316,5.902876e-06,1.595302216e-05,8.1384827e-05,1.5128166e-08,5.3947356e-10,2.6440846e-06,8.1384827e-05
processing metals,m ,Fiber Laser cutting 6000 W  Steel 10mm thick per 1 meter,1.5255258e-05,0.02712827533333333,0.48980801,0.31299077,0.021612158,0.00029514379,0.000797651108,0.0040692413,7.564083e-07,2.6973678e-08,0.00013220423,0.0040692413
processing metals,kg ,Drilling steel (per kg removed - the removed steel not counted),5.8732742e-05,0.10444386,1.8857608,1.2050145,0.083206808,0.00113630362,0.003070956742,0.015666579,2.912172e-06,1.0384866e-07,0.00050898628,0.015666579
processing metals,kg ,Milling steel (per kg removed - revomed steel not counted),5.8732742e-05,0.10444386,1.8857608,1.2050145,0.083206808,0.00113630362,0.003070956742,0.015666579,2.912172e-06,1.0384866e-07,0.00050898628,0.015666579
processing metals,kg ,Turrning steel (per kg removed - steel removed not counted),5.8732742e-05,0.10444386,1.8857608,1.2050145,0.083206808,0.00113630362,0.003070956742,0.015666579,2.912172e-06,1.0384866e-07,0.00050898628,0.015666579
processing metals,m2 ,Electroplating Chrome (single side),0.36570026,2.191879266666667,14.32693,9.514547,0.26539585,0.567737364391934,0.3967647474660793,0.32878189,6.1115409e-05,1.0534899e-05,0.036010587,0.32878189
processing metals,m2 ,Electroplating Nickel (single side),0.60682939,1.2585868,23.381371,19.035354,0.53122395,0.73550669678387,0.6264516129321585,0.18878802,3.5092739e-05,1.150793e-05,0.028806407,0.18878802
processing metals,m2 ,Electroplating Zinc incl. outside use per 10 years (10  micron single side),0.10180765,2.904382066666667,52.988883,35.658209,2.1182933,0.62057196537176,0.404125777645528,0.43565731,8.0981879e-05,2.8490428e-06,0.01301579,0.43565731
