industry,unit,process,metals,carbon,ced,non-renewable,renewable,global warming,global warming.1,ozone formation,climate change,photochemical ozone formation,resource use,carbon.1
textile,kg ,Acrylic fibres,0.0,5.13,100.338,100.338,0.0,1.354748978311494,0.0,0.7695,0.00014303801,3.4074488e-06,0.012514788,0.7695
textile,kg ,BioCotton fibre from China/India (without global seatransport),0.00019464739,0.3329423266666667,5.7885818,4.3208364,0.20486427,0.005489014494999999,0.86861087039,0.049941349,9.2833156e-06,3.9738144e-07,0.0019701503,0.049941349
textile,kg ,BioCotton fibre from USA (without global seatransport),0.00037481736,0.7626977333333333,13.23279,9.7220371,0.44725218,0.0104799701,0.87115352036,0.11440466,2.1266037e-05,7.8316535e-07,0.0038557772,0.11440466
textile,kg ,Cotton fibre from China and India (without global seatransport),0.00028646533,0.8813826000000001,13.630893,11.840964,0.23243432,0.022339974834,0.87243226633,0.13220739,2.4575285e-05,1.3299139e-06,0.0064499963,0.13220739
textile,kg ,Cotton fibre from USA (without global seatransport),0.00046762224,1.313870133333333,21.129109,17.291289,0.4752885,0.02667187574,0.87503697524,0.19708052,3.6634185e-05,1.7112525e-06,0.0083210508,0.19708052
textile,kg ,Cotton fibre trade mix (without global seatransport),0.00033485407,1.000428,15.678095,13.348004,0.29636333,0.023660013729,0.87186667207,0.1500642,2.7894588e-05,1.4391063e-06,0.0069847315,0.1500642
textile,kg ,Elastane (polyurethane) pellets,0.00011467197,3.295048733333334,107.43137,97.928154,8.2945539,0.7510951154,0.00632494537,0.49425731,9.1874702e-05,2.1595576e-06,0.009106091,0.49425731
textile,kg ,Fleece from recycled PET bottles,0.0021070218,7.504679333333333,115.2773,101.09603,2.0792639,0.138283273887,0.0754087795977,1.1257019,0.00020925037,1.053992e-05,0.051025831,1.1257019
textile,kg ,Jute fibre incl. degumming market mix,0.00091031535,3.797658933333334,41.685644,35.897862,0.72513049,0.072115252747,0.20944738535,0.56964884,0.00010588881,3.7593169e-06,0.018910828,0.56964884
textile,kg ,Jute fibre incl. degumming India irrigation,0.00091031535,3.797658933333334,41.685645,35.897862,0.72513049,0.072115252748,0.87925304635,0.56964884,0.00010588881,3.7593169e-06,0.018910828,0.56964884
textile,kg ,Jute fibre incl. degumming India rain fed - renewable fuel,0.0015302693,3.9534742,49.063453,33.398134,1.972152,0.07547960176,0.1980513963,0.59302113,0.00011023335,3.6479558e-06,0.018057243,0.59302113
textile,kg ,Kenaf fibre incl. degumming India,0.00090402427,2.742414666666667,43.724239,36.97122,0.80052203,0.033046610824,0.46164569727,0.4113622,7.6465798e-05,3.233272e-06,0.016133613,0.4113622
textile,kg ,Kenaf fibre incl. degumming Italy - renewable fule,0.00064374985,1.332928466666667,22.840126,16.411924,0.80052203,0.019381163006,0.39829570985,0.19993927,3.7165582e-05,1.5655298e-06,0.0076518441,0.19993927
textile,kg ,Nylon pellets,0.0,5.46,124.2204,121.412,2.8084,0.7579191149,0.0,0.819,0.00015223929,4.3173144e-06,0.0186966,0.819
textile,kg ,Polyester = PET pellets,-1.6357508e-05,2.051337733333333,72.041491,71.610411,0.0,0.6550891958527401,0.003516885392,0.30770066,5.719674e-05,4.8583009e-06,0.022396683,0.30770066
textile,kg ,PLA (polylactide) pellets,0.00064692485,3.543347266666667,73.408489,51.10114,21.5,0.033966141819,0.00516573555,0.53150209,9.8797923e-05,4.1452554e-06,0.021081853,0.53150209
textile,kg ,Sorona (PTT) biobased pellets,0.00061382637,3.324106266666667,74.167906,73.401863,0.0,0.4565483399619999,0.004901442069999999,0.49861594,9.2684902e-05,3.9331725e-06,0.020003246,0.49861594
textile,kg ,Viscose production,0.0,1.5,21.783,21.783,0.0,0.14646553519762,0.0,0.225,4.182398e-05,2.1744982e-06,0.0051714,0.225
