industry,unit,process,metals,carbon,ced,non-renewable,renewable,global warming,global warming.1,ozone formation,climate change,photochemical ozone formation,resource use,carbon.1
wood,kg ,Afrormosia FSC/PEFC 700 (kg/m3),0.0001483926,0.23632244,24.824579,3.0705293,21.023185,0.005730390485,0.0126220982889,0.035448366,6.5892967e-06,3.2066481e-07,0.0015235334,0.035448366
wood,kg ,Afrormosia natural forest clear cut 700 (kg/m3),0.0001483926,3.686322466666667,24.824579,3.0705293,21.023185,4.81387168045,0.0126220982889,0.55294837,0.00010278445,3.2066481e-07,0.0015235334,0.55294837
wood,kg ,Afzelia FCS/PEFC 820 (kg/m3),0.00014792059,0.2280922533333334,24.716519,2.9629579,21.023185,0.005439844351,0.0119094072789,0.034213838,6.3598173e-06,3.1386e-07,0.0015014603,0.034213838
wood,kg ,Afzelia natural forest clear cut 820 (kg/m3),0.00014792059,3.678092266666667,24.716519,2.9629579,21.023185,5.98233984902,0.0119094072789,0.55171384,0.00010255497,3.1386e-07,0.0015014603,0.55171384
wood,kg ,Guaiacum wood FSC/PEFC 1250 (kg/m3),0.00014766885,0.22370282,24.658887,2.9055865,21.023185,0.005284886417999999,0.0115293045389,0.033555423,6.2374283e-06,3.1023076e-07,0.001489688,0.033555423
wood,kg ,Guaiacum wood natural forest clear cut 1250 (kg/m3),0.00014766885,3.6737028,24.658887,2.9055865,21.023185,2.94220989893,0.0115293045389,0.55105542,0.00010243258,3.1023076e-07,0.001489688,0.55105542
wood,kg ,Iroko FSC/PEFC 650 (kg/m3),0.00014905342,0.2478447,24.975863,3.2211293,21.023185,0.0061371551,0.0136198671089,0.037176705,6.9105679e-06,3.3019154e-07,0.0015544357,0.037176705
wood,kg ,Iroko natural forest clear cut 650 (kg/m3),0.00014905342,3.697844733333333,24.975863,3.2211293,21.023185,4.72926212448,0.0136198671089,0.55467671,0.00010310572,3.3019154e-07,0.0015544357,0.55467671
wood,kg ,Makore FSC/PEFC 660 (kg/m3),0.00014848701,0.23796848,24.846191,3.0920436,21.023185,0.005788499775,0.0127646366989,0.035695272,6.6351926e-06,3.2202577e-07,0.001527948,0.035695272
wood,kg ,Makore natural forest clear cut 660 (kg/m3),0.00014848701,3.687968466666667,24.846191,3.0920436,21.023185,4.6430384868,0.0127646366989,0.55319527,0.00010283035,3.2202577e-07,0.001527948,0.55319527
wood,kg ,Mansonia FSC/PEFC 620 (kg/m3),0.00014880168,0.2434552666666667,24.918231,3.1637579,21.023185,0.005982197168,0.0132397643689,0.03651829,6.7881789e-06,3.2656231e-07,0.0015426634,0.03651829
wood,kg ,Mansonia natural forest clear cut 620 (kg/m3),0.00014880168,3.693455266666667,24.918231,3.1637579,21.023185,5.43757597439,0.0132397643689,0.55401829,0.00010298333,3.2656231e-07,0.0015426634,0.55401829
wood,kg ,Moabi FSC/PEFC 815 (kg/m3),0.00014795206,0.2286409333333334,24.723723,2.9701293,21.023185,0.005459214081,0.0119569197489,0.03429614,6.3751159e-06,3.1431365e-07,0.0015029318,0.03429614
wood,kg ,Moabi natural forest clear cut 815 (kg/m3),0.00014795206,3.678640933333333,24.723723,2.9701293,21.023185,5.98235921777,0.0119569197489,0.55179614,0.00010257027,3.1431365e-07,0.0015029318,0.55179614
wood,kg ,Padouk African FSC/PEFC 740 (kg/m3),0.00014823527,0.2335790466666667,24.788559,3.0346722,21.023185,0.005633541842999999,0.0123845349589,0.035036857,6.5128036e-06,3.1839654e-07,0.0015161757,0.035036857
wood,kg ,Padouk African natural forest clear cut 740 (kg/m3),0.00014823527,3.683579066666667,24.788559,3.0346722,21.023185,6.600833536710001,0.0123845349589,0.55253686,0.00010270796,3.1839654e-07,0.0015161757,0.55253686
wood,kg ,Palissander Indisch FSC/PEFC 850 (kg/m3),0.00014763738,0.2231541466666667,24.651683,2.898415,21.023185,0.005265516788,0.0114817920689,0.033473122,6.2221297e-06,3.0977711e-07,0.0014882165,0.033473122
wood,kg ,Palissander Indisch natural forest clear cut 850 (kg/m3),0.00014763738,3.673154133333334,24.651683,2.898415,21.023185,4.33336553028,0.0114817920689,0.55097312,0.00010241728,3.0977711e-07,0.0014882165,0.55097312
wood,kg ,Robinia FSC/PEFC 740 (kg/m3),0.00021226839,0.2334096733333333,24.991469,3.1801984,21.058124,0.005950526994000001,0.0116170386816,0.035011451,6.5080811e-06,4.0997751e-07,0.0020601574,0.035011451
wood,kg ,Teak FSC/PEFC 665 (kg/m3),0.00015191697,0.2977744933333334,25.631426,3.8737293,21.023185,0.007899801555,0.0179435296589,0.044666174,8.302743e-06,3.7147407e-07,0.0016883458,0.044666174
wood,kg ,Teak natural forest clear cut 665 (kg/m3),0.00015191697,3.747774466666667,25.631426,3.8737293,21.023185,4.602212281730001,0.0179435296589,0.56216617,0.0001044979,3.7147407e-07,0.0016883458,0.56216617
wood,kg ,Agba FSC/PEFC 500 (kg/m3),0.00014965131,0.2582696,25.112739,3.3573865,21.023185,0.006505180156,0.0145226099989,0.03874044,7.2012418e-06,3.3881097e-07,0.001582395,0.03874044
wood,kg ,Agba natural forest clear cut 500 (kg/m3),0.00014965131,3.7082696,25.112739,3.3573865,21.023185,9.830605130910001,0.0145226099989,0.55624044,0.0001033964,3.3881097e-07,0.001582395,0.55624044
wood,kg ,Angelique FSC 735 (kg/m3),0.00014792059,0.2280922533333334,24.716519,2.9629579,21.023185,0.005439844351,0.0119094072789,0.034213838,6.3598173e-06,3.1386e-07,0.0015014603,0.034213838
wood,kg ,Angelique natural forest clear cut 735 (kg/m3),0.00014792059,3.678092266666667,24.716519,2.9629579,21.023185,5.00336484902,0.0119094072789,0.55171384,0.00010255497,3.1386e-07,0.0015014603,0.55171384
wood,kg ,Azobé FSC/PEFC 1060 (kg/m3),0.00014779472,0.22589754,24.687703,2.9342722,21.023185,0.005362365429999999,0.0117193564089,0.033884631,6.2986228e-06,3.1204538e-07,0.0014955741,0.033884631
wood,kg ,Azobé natural forest clear cut 1060 (kg/m3),0.00014779472,3.675897533333334,24.687703,2.9342722,21.023185,4.60826237402,0.0117193564089,0.55138463,0.00010249378,3.1204538e-07,0.0014955741,0.55138463
wood,kg ,Bosse clair FSC/PEFC 575 (kg/m3),0.00014908489,0.24839338,24.983067,3.2283008,21.023185,0.006156524830999999,0.0136673795789,0.037259007,6.9258665e-06,3.306452e-07,0.0015559072,0.037259007
wood,kg ,Bosse clair natural forest clear cut 575 (kg/m3),0.00014908489,3.6983934,24.983067,3.2283008,21.023185,8.52495649323,0.0136673795789,0.55475901,0.00010312102,3.306452e-07,0.0015559072,0.55475901
wood,kg ,Bubinga FSC/PEFC 830 (kg/m3),0.00014788912,0.2275435733333333,24.709315,2.9557865,21.023185,0.00542047472,0.0118618948089,0.034131536,6.3445187e-06,3.1340634e-07,0.0014999888,0.034131536
wood,kg ,Bubinga natural forest clear cut 830 (kg/m3),0.00014788912,3.6775436,24.709315,2.9557865,21.023185,5.91362048037,0.0118618948089,0.55163154,0.00010253967,3.1340634e-07,0.0014999888,0.55163154
wood,kg ,Cedar  American FSC/PEFC 490 (kg/m3),0.00015002892,0.2648537533333333,25.199187,3.4434436,21.023185,0.006737617009,0.0150927626089,0.039728063,7.3848253e-06,3.4425482e-07,0.0016000534,0.039728063
wood,kg ,Cedar  American natural forest clear cut 490 (kg/m3),0.00015002892,3.714853733333334,25.199187,3.4434436,21.023185,8.747095156,0.0150927626089,0.55722806,0.00010357998,3.4425482e-07,0.0016000534,0.55722806
wood,kg ,Chestnut FSC/PEFC 540 (kg/m3),0.00026014163,0.1005204866666667,25.625247,3.7707784,21.083081,0.007491320429000001,0.0142929083522,0.015078073,2.8027779e-06,5.0617616e-07,0.0025485702,0.015078073
wood,kg ,Cordia FCS/PEFC 540 (kg/m3),0.00015091001,0.2802167666666667,25.400898,3.6442436,21.023185,0.007279969826000001,0.0164231206989,0.042032515,7.8131869e-06,3.5695714e-07,0.0016412565,0.042032515
wood,kg ,Cordia natural forest clear cut 540 (kg/m3),0.00015091001,3.730216733333334,25.400898,3.6442436,21.023185,5.675029981370001,0.0164231206989,0.55953251,0.00010400834,3.5695714e-07,0.0016412565,0.55953251
wood,kg ,Idigbo FSC/PEFC 550 (kg/m3),0.00014864434,0.2407118733333333,24.882211,3.1279007,21.023185,0.005885348427,0.0130022010289,0.036106781,6.7116857e-06,3.2429404e-07,0.0015353057,0.036106781
wood,kg ,Idigbo natural forest clear cut 550 (kg/m3),0.00014864434,3.690711866666667,24.882211,3.1279007,21.023185,4.47138533055,0.0130022010289,0.55360678,0.00010290684,3.2429404e-07,0.0015353057,0.55360678
wood,kg ,Mahogany FSC/PEFC 1110 (kg/m3),0.00014785765,0.2269949,24.702111,2.948615,21.023185,0.005401104889999999,0.0118143813389,0.034049235,6.3292201e-06,3.1295269e-07,0.0014985172,0.034049235
wood,kg ,Mahogany natural forest clear cut 1110 (kg/m3),0.00014785765,3.676994866666667,24.702111,2.948615,21.023185,3.31330611152,0.0118143813389,0.55154923,0.00010252437,3.1295269e-07,0.0014985172,0.55154923
wood,kg ,Meranti FSC/PEFC 640 (kg/m3),0.00015260926,0.3098454333333333,25.789914,4.0315008,21.023185,0.008325935801,0.0189888109489,0.046476815,8.6393128e-06,3.8145446e-07,0.0017207196,0.046476815
wood,kg ,Meranti natural forest clear cut 640 (kg/m3),0.00015260926,3.7598454,25.789914,4.0315008,21.023185,7.63402589441,0.0189888109489,0.56397681,0.00010483447,3.8145446e-07,0.0017207196,0.56397681
wood,kg ,Merbau FSC/PEFC 800 (kg/m3),0.00015113028,0.28405752,25.451326,3.6944436,21.023185,0.007415557927999999,0.0167557099689,0.042608628,7.9202773e-06,3.6013272e-07,0.0016515573,0.042608628
wood,kg ,Merbau natural forest clear cut 800 (kg/m3),0.00015113028,3.734057533333333,25.451326,3.6944436,21.023185,6.12171556261,0.0167557099689,0.56010863,0.00010411543,3.6013272e-07,0.0016515573,0.56010863
wood,kg ,Oak European FSC/PEFC 710 (kg/m3),0.00018354444,0.2111431866666667,24.611202,2.8258504,21.04315,0.005026051012,0.0100115170733,0.031671478,5.8872323e-06,3.5225832e-07,0.0017671097,0.031671478
wood,kg ,Purpleheart FSC/PEFC 850 (kg/m3),0.00014760591,0.2226054666666667,24.644479,2.8912436,21.023185,0.005246146957999999,0.0114342795989,0.03339082,6.206831e-06,3.0932345e-07,0.0014867449,0.03339082
wood,kg ,Purpleheart natural forest clear cut 850 (kg/m3),0.00014760591,3.672605466666667,24.644479,2.8912436,21.023185,4.333346161430001,0.0114342795989,0.55089082,0.00010240199,3.0932345e-07,0.0014867449,0.55089082
wood,kg ,Red Cedar Western 370 (kg/m3),0.0001665579,0.39353398,26.918023,5.1464454,21.028177,0.01132648843,0.026128259675,0.059030097,1.0972772e-05,4.6375212e-07,0.0020229461,0.059030097
wood,kg ,Utile (Sipo) FSC/PEFC 640 (kg/m3),0.00014870728,0.2418092333333334,24.896619,3.1422436,21.023185,0.005924087876999999,0.0130972269689,0.036271385,6.742283e-06,3.2520135e-07,0.0015382488,0.036271385
wood,kg ,Utile (Sipo) natural forest clear cut 640 (kg/m3),0.00014870728,3.6918092,24.896619,3.1422436,21.023185,5.267485368040001,0.0130972269689,0.55377138,0.00010293744,3.2520135e-07,0.0015382488,0.55377138
wood,kg ,Wengé FSC/PEFC 830 (kg/m3),0.00014788912,0.2275435733333333,24.709315,2.9557865,21.023185,0.00542047472,0.0118618948089,0.034131536,6.3445187e-06,3.1340634e-07,0.0014999888,0.034131536
wood,kg ,Wengé natural forest clear cut 830 (kg/m3),0.00014788912,3.6775436,24.709315,2.9557865,21.023185,5.91362048037,0.0118618948089,0.55163154,0.00010253967,3.1340634e-07,0.0014999888,0.55163154
wood,kg ,Carapa FSC/PEFC 610 (kg/m3),0.00014861288,0.2401631933333333,24.875007,3.1207293,21.023185,0.005865978696999999,0.0129546885689,0.036024479,6.6963871e-06,3.2384039e-07,0.0015338342,0.036024479
wood,kg ,Carapa natural forest clear cut 610 (kg/m3),0.00014861288,3.6901632,24.875007,3.1207293,21.023185,6.0342909618,0.0129546885689,0.55352448,0.00010289154,3.2384039e-07,0.0015338342,0.55352448
wood,kg ,Dibetou FSC/PEFC550 (kg/m3),0.0001492737,0.2516854533333334,25.026291,3.2713293,21.023185,0.006272743202,0.0139524563889,0.037752818,7.0176583e-06,3.3336712e-07,0.0015647365,0.037752818
wood,kg ,Dibetou natural forest clear cut 550 (kg/m3),0.0001492737,3.701685466666667,25.026291,3.2713293,21.023185,8.93727270572,0.0139524563889,0.55525282,0.00010321281,3.3336712e-07,0.0015647365,0.55525282
wood,kg ,Kauri FSC/PEFC 485 (kg/m3),0.00015496932,0.35099636,26.330213,4.5693579,21.023185,0.009778666391000002,0.0225522690089,0.052649454,9.7867098e-06,4.1547852e-07,0.0018310851,0.052649454
wood,kg ,Kauri natural forest clear cut 485 (kg/m3),0.00015496932,3.800996333333333,26.330213,4.5693579,21.023185,10.10867835148,0.0225522690089,0.57014945,0.00010598186,4.1547852e-07,0.0018310851,0.57014945
wood,kg ,Kotibe FSC/PEFCt 760 (kg/m3),0.00014804646,0.2302869733333333,24.745335,2.9916436,21.023185,0.005517323372,0.0120994581489,0.034543046,6.4210118e-06,3.1567461e-07,0.0015073465,0.034543046
wood,kg ,Kotibe natural forest clear cut 760 (kg/m3),0.00014804646,3.680287,24.745335,2.9916436,21.023185,3.22754732412,0.0120994581489,0.55204305,0.00010261617,3.1567461e-07,0.0015073465,0.55204305
wood,kg ,Larch FSC/PEFC 600 (kg/m3),0.00014804646,0.2302869733333333,24.745335,2.9916436,21.023185,0.005517323372,0.0120994581489,0.034543046,6.4210118e-06,3.1567461e-07,0.0015073465,0.034543046
wood,kg ,Mahogany African FSC/PEFC 640 (kg/m3),0.00014870728,0.2418092333333334,24.896619,3.1422436,21.023185,0.005924087876999999,0.0130972269689,0.036271385,6.742283e-06,3.2520135e-07,0.0015382488,0.036271385
wood,kg ,Mahogany African natural forest clear cut 640 (kg/m3),0.00014870728,3.6918092,24.896619,3.1422436,21.023185,7.631624068040001,0.0130972269689,0.55377138,0.00010293744,3.2520135e-07,0.0015382488,0.55377138
wood,kg ,Movigui FSC/PEFC 710 (kg/m3),0.00014788912,0.2275435733333333,24.709315,2.9557865,21.023185,0.00542047472,0.0118618948089,0.034131536,6.3445187e-06,3.1340634e-07,0.0014999888,0.034131536
wood,kg ,Movigui natural forest clear cut 710 (kg/m3),0.00014788912,3.6775436,24.709315,2.9557865,21.023185,2.58167048037,0.0118618948089,0.55163154,0.00010253967,3.1340634e-07,0.0014999888,0.55163154
wood,kg ,Mutenye FSC/PEFCt 820 (kg/m3),0.00014826673,0.2341277266666666,24.795763,3.0418436,21.023185,0.005652911474,0.0124320474189,0.035119159,6.5281022e-06,3.1885019e-07,0.0015176472,0.035119159
wood,kg ,Mutenye natural forest clear cut 820 (kg/m3),0.00014826673,3.684127733333333,24.795763,3.0418436,21.023185,2.99410290536,0.0124320474189,0.55261916,0.00010272326,3.1885019e-07,0.0015176472,0.55261916
wood,kg ,Niangon FSC/PEFC 710 (kg/m3),0.00014788912,0.2275435733333333,24.709315,2.9557865,21.023185,0.00542047472,0.0118618948089,0.034131536,6.3445187e-06,3.1340634e-07,0.0014999888,0.034131536
wood,kg ,Niangon natural forest clear cut 710 (kg/m3),0.00014788912,3.6775436,24.709315,2.9557865,21.023185,3.44042048037,0.0118618948089,0.55163154,0.00010253967,3.1340634e-07,0.0014999888,0.55163154
wood,kg ,Olon FSC/PEFC 485 (kg/m3),0.00014980864,0.261013,25.148759,3.3932436,21.023185,0.006602028807,0.0147601733289,0.03915195,7.2777349e-06,3.4107924e-07,0.0015897526,0.03915195
wood,kg ,Olon natural forest clear cut 485 (kg/m3),0.00014980864,3.711013,25.148759,3.3932436,21.023185,10.10550187466,0.0147601733289,0.55665195,0.00010347289,3.4107924e-07,0.0015897526,0.55665195
wood,kg ,Oregon Pine FSC/PEFC 505 (kg/m3),0.00015383649,0.1612439133333333,26.070869,4.3111865,21.023185,0.009081355642000001,0.0208418091789,0.024186587,4.4959082e-06,3.9914697e-07,0.0017781097,0.024186587
