industry,unit,process,metals,carbon,ced,non-renewable,renewable,global warming,global warming.1,ozone formation,climate change,photochemical ozone formation,resource use,carbon.1
electricity Canada,MJ ,Electricity Alberta production,3.8780096e-05,0.1832334,5.1696617,2.3391936,2.691764,0.0051785857,3.8780096e-05,0.02748501,5.1090334e-06,4.8014009e-07,0.002387186,0.02748501
electricity Canada,MJ ,Electricity British Columbia production,0.00019742829,0.007710413333333334,2.7146856,0.2468644,1.4614352,0.00050017038,0.00019742829,0.001156562,2.1498678e-07,4.5459767e-08,0.00022552128,0.001156562
electricity Canada,MJ ,Electricity Manitoba production,0.00021366375,0.002696516133333333,2.4069924,0.014446369,1.3023815,3.3151604e-05,0.00021366375,0.00040447742,7.5186025e-08,2.7650314e-09,1.3569474e-05,0.00040447742
electricity Canada,MJ ,Electricity New Brunswick production,6.8316428e-05,0.1172720733333334,5.4198524,0.92754444,2.8538597,0.00212640856,0.010774236428,0.017590811,3.2698565e-06,1.7999379e-07,0.00088553834,0.017590811
electricity Canada,MJ ,Electricity Newfoundland and Labrador production,0.00020648812,0.008116472000000001,2.4751724,0.066722732,1.3373757,0.000183346221,0.00020648812,0.0012174708,2.2630878e-07,9.7390465e-09,4.4372766e-05,0.0012174708
electricity Canada,MJ ,Electricity Northwest Territories production,0.00015080295,0.07082859333333334,3.3732382,0.83316767,1.7878497,0.00215735741,0.00015080295,0.010624289,1.974889e-06,1.6223023e-07,0.00078505041,0.010624289
electricity Canada,MJ ,Electricity Nova Scotia production,6.4705833e-05,0.23382572,5.5935083,2.4007013,2.9444468,0.0045296504,6.4705833e-05,0.035073858,6.5196815e-06,3.9566432e-07,0.0019569717,0.035073858
electricity Canada,MJ ,Electricity Nunavut production,5.8726578e-07,0.2623447066666667,6.807562,3.2192776,3.5861925,0.0091109645,5.8726578e-07,0.039351706,7.3148665e-06,3.8381034e-07,0.0016522305,0.039351706
electricity Canada,MJ ,Electricity Ontario production,8.9999753e-05,0.01747998866666667,5.2048931,0.21517108,2.7442112,0.00085857751,0.015056048753,0.0026219983,4.8738847e-07,6.4489671e-08,0.00031144933,0.0026219983
electricity Canada,MJ ,Electricity Prince Edward Island production,0.00033111064,0.1090852666666667,2.4378196,0.036050019,1.3185069,0.000158529351,0.00033111064,0.01636279,3.0415866e-06,1.009339e-08,4.7441273e-05,0.01636279
electricity Canada,MJ ,Electricity Quebec production,0.00021482278,0.002762364733333334,2.4289887,0.029730161,1.3139325,6.7722376e-05,0.00021482278,0.00041435471,7.7022058e-08,4.9390871e-09,2.3809446e-05,0.00041435471
electricity Canada,MJ ,Electricity Saskatchewan production,3.3222464e-05,0.23363732,5.4935004,2.4711279,2.8730214,0.0050710153,3.3222464e-05,0.035045598,6.5144284e-06,4.5870129e-07,0.0022759772,0.035045598
electricity Canada,MJ ,Electricity Yukon production,0.0001526817,0.03169615533333334,3.3269108,0.76585873,1.7685097,0.00200882226,0.0001526817,0.0047544233,8.8377292e-07,1.3658416e-07,0.00065111529,0.0047544233
electricity USA,MJ ,Electricity Alabama production,1.5454433e-05,0.12164906,2.6868895,1.5141941,0.0010905804,0.00173321468,0.008872440733,0.018247359,3.3918985e-06,1.5620379e-07,0.00077046456,0.018247359
electricity USA,MJ ,Electricity Alaska production,5.7893988e-05,0.1858095733333333,2.0625558,1.9008062,0.0,0.0080391664,5.7893988e-05,0.027871436,5.1808639e-06,1.1475052e-06,0.005948504,0.027871436
electricity USA,MJ ,Electricity Arizona production,3.5657323e-05,0.1163672666666667,2.4697079,1.4621948,0.0061938391,0.00144672305,0.007426219823,0.01745509,3.2446281e-06,1.678909e-07,0.00085028314,0.01745509
electricity USA,MJ ,Electricity Arkansas production,1.4329253e-05,0.1578564133333333,2.662409,1.8678407,0.0015545545,0.00284338022,0.006311846453,0.023678462,4.4014556e-06,1.9558226e-07,0.00093112086,0.023678462
